,total_grants,id,last_grant_year
717,0,ur.01170350513.24,
718,0,ur.01256133462.00,
719,9,ur.01140036361.27,2024.0
720,0,ur.01313240102.02,
721,0,ur.01023473371.51,
722,0,ur.015131156777.62,
723,0,ur.07706004704.87,
724,0,ur.01077600005.78,
725,8,ur.01011104615.76,2017.0
726,0,ur.01204276533.76,
727,0,ur.013106331465.15,
728,3,ur.014362300302.36,2024.0
729,0,ur.015603204663.30,
730,0,ur.013236451273.90,
731,24,ur.0652122170.60,2020.0
732,2,ur.01276523755.34,2019.0
733,1,ur.013740005471.26,2020.0
734,0,ur.0776020115.42,
735,34,ur.01240411533.17,2022.0
736,2,ur.011275311037.68,2018.0
737,0,ur.01312607461.25,
738,3,ur.0765377607.72,2010.0
739,0,ur.01034333505.72,
740,0,ur.01174037344.22,
741,0,ur.014422625237.38,
742,0,ur.01001307527.28,
743,1,ur.01353341174.06,2021.0
744,6,ur.01023627236.33,2024.0
745,4,ur.016400724047.81,2024.0
746,17,ur.013076541047.38,2023.0
747,8,ur.0724060650.02,2020.0
748,7,ur.011367065707.90,2024.0
749,9,ur.01104516710.33,2021.0
750,6,ur.01155064273.68,2020.0
751,0,ur.01070241414.27,
752,9,ur.01205163364.12,2018.0
753,0,ur.0637373466.80,
754,0,ur.0772742531.89,
755,4,ur.0737513674.23,2023.0
756,7,ur.0712400456.14,2019.0
757,0,ur.0763077514.08,
758,7,ur.0765317757.74,2024.0
759,1,ur.01122034607.14,2015.0
760,9,ur.01332405525.49,2020.0
761,0,ur.01246560761.26,
762,1,ur.0576014515.12,2003.0
763,5,ur.01277630113.09,2010.0
764,10,ur.01237343617.69,2022.0
765,2,ur.01260346064.17,2019.0
766,1,ur.0705572413.42,2016.0
767,7,ur.01133144301.00,2023.0
768,14,ur.01167167075.12,2022.0
769,1,ur.011126100414.29,2016.0
770,13,ur.0755436405.55,2022.0
771,8,ur.01230144105.36,2017.0
772,21,ur.0755334151.48,2019.0
773,4,ur.01247663165.54,2020.0
774,4,ur.01135477613.94,2012.0
775,20,ur.011437106552.31,2024.0
776,8,ur.0774556547.46,2023.0
777,16,ur.01303043745.23,2020.0
778,13,ur.01103300673.89,2023.0
779,40,ur.01273656103.87,2024.0
780,6,ur.0760555123.64,2020.0
781,24,ur.0743663170.81,2023.0
782,6,ur.01225701021.53,2020.0
783,14,ur.01167177047.84,2021.0
784,1,ur.01300414276.96,2017.0
785,7,ur.015724275712.61,2023.0
786,0,ur.0642244565.58,
